Gene1,Gene2,CellLine,Label
9831,30435,0,1
4024,6787,0,1
9831,30459,0,1
2253,1565,0,1
34511,34717,0,1
6817,32837,0,1
7830,31628,0,1
33353,30781,0,1
32620,32304,0,1
5928,3128,0,1
32377,1493,0,1
31276,8229,0,1
2456,8697,0,1
35884,3644,0,1
36703,3096,0,1
5620,34272,0,1
30851,6798,0,1
9760,7291,0,1
30361,3128,0,1
30365,7395,0,1
34,35512,0,1
7265,37459,0,1
4011,31215,0,1
39600,36741,0,1
34353,7931,0,1
34347,32832,0,1
33336,32493,0,1
32740,9614,0,1
32141,6671,0,1
2448,30420,0,1
34183,7967,0,1
39835,1126,0,1
34075,30694,0,1
40363,40361,0,1
4054,33306,0,1
85,34427,0,1
38088,8042,0,1
9540,7513,0,1
34281,827,0,1
36948,9429,0,1
34696,114,0,1
8110,3711,0,1
5689,31973,0,1
2664,5410,0,1
881,2103,0,1
5737,37418,0,1
3326,31249,0,1
33131,966,0,1
31285,31650,0,1
2103,31883,0,1
2103,30515,0,1
5871,7314,0,1
4535,1037,0,1
36501,7970,0,1
5992,34091,0,1
37871,39391,0,1
31296,1051,0,1
32715,35075,0,1
1470,36078,0,1
1470,34391,0,1
31772,7933,0,1
7829,31167,0,1
34602,35914,0,1
6536,32168,0,1
34765,3642,0,1
4627,1195,0,1
4627,32075,0,1
1195,32075,0,1
5096,1233,0,1
34879,9900,0,1
31038,35602,0,1
7717,37258,0,1
6481,37258,0,1
38390,715,0,1
31083,3317,0,1
9960,124,0,1
9960,8282,0,1
124,8282,0,1
32944,5162,0,1
6872,32820,0,1
773,8332,0,1
32330,31171,0,1
3821,31885,0,1
3821,32532,0,1
1898,34191,0,1
1898,31663,0,1
34191,31663,0,1
31885,32532,0,1
30973,7942,0,1
1942,6987,0,1
30685,8529,0,1
9740,6004,0,1
31557,32519,0,1
9360,7755,0,1
5690,893,0,1
33640,893,0,1
5562,893,0,1
33221,38691,0,1
9725,2279,0,1
34678,5275,0,1
7194,4631,0,1
7194,8700,0,1
31392,1027,0,1
33175,8165,0,1
623,4798,0,1
33505,5645,0,1
31640,8517,0,1
2097,7511,0,1
30815,2076,0,1
30280,9624,0,1
31628,7830,0,1
30474,33690,0,1
9480,6711,0,1
6097,31983,0,1
36061,36062,0,1
8123,3019,0,1
31085,4271,0,1
1270,30374,0,1
34377,8506,0,1
31534,31535,0,1
8100,7217,0,1
35109,35973,0,1
6860,34133,0,1
5199,658,0,1
33910,33774,0,1
4700,2167,0,1
614,5006,0,1
9324,31678,0,1
5432,36610,0,1
36498,5767,0,1
34135,7808,0,1
37726,30726,0,1
3808,4901,0,1
3808,39104,0,1
3808,5877,0,1
2972,35069,0,1
2972,39104,0,1
2972,34222,0,1
35069,39104,0,1
35069,34222,0,1
35069,5877,0,1
39104,34222,0,1
39104,34268,0,1
34334,35327,0,1
5877,34268,0,1
34354,32148,0,1
5728,1386,0,1
5344,33243,0,1
5344,33562,0,1
5679,7382,0,1
31530,36158,0,1
7508,1208,0,1
30988,32122,0,1
31284,5333,0,1
6001,3391,0,1
79,37511,0,1
1018,7483,0,1
7791,34967,0,1
7807,9547,0,1
30974,30945,0,1
30899,7405,0,1
9860,32868,0,1
30389,9092,0,1
32034,9778,0,1
32088,31690,0,1
30977,4201,0,1
36483,31503,0,1
33197,6693,0,1
6693,4120,0,1
30538,3913,0,1
5694,3293,0,1
36463,761,0,1
6845,33427,0,1
1455,32529,0,1
34709,4691,0,1
35888,4691,0,1
32360,36040,0,1
2267,30662,0,1
9787,3674,0,1
31700,33827,0,1
31700,916,0,1
7038,36956,0,1
3913,516,0,1
32304,32620,0,1
991,34639,0,1
6475,1170,0,1
6333,31553,0,1
4540,39105,0,1
35920,35314,0,1
6924,2368,0,1
6924,9095,0,1
6924,2168,0,1
32354,3383,0,1
32109,5211,0,1
38402,33660,0,1
34968,31706,0,1
2249,30727,0,1
34518,1983,0,1
1555,30955,0,1
2012,33990,0,1
35632,8201,0,1
39335,7414,0,1
4840,3112,0,1
38214,8599,0,1
594,38217,0,1
39213,35212,0,1
31086,4911,0,1
31061,4964,0,1
33142,32791,0,1
34422,8323,0,1
30303,34458,0,1
3128,802,0,1
30448,8519,0,1
30595,2719,0,1
32145,9723,0,1
31710,30498,0,1
31592,9535,0,1
31592,1694,0,1
35816,38028,0,1
8407,3721,0,1
31579,32726,0,1
4621,6499,0,1
34411,35646,0,1
34411,559,0,1
1751,7381,0,1
8492,6183,0,1
